question,answer,keywords
"When should I worry about high blood pressure?","High blood pressure may need urgent care if it comes with severe headache, chest pain, breathing trouble, weakness, or blurred vision.","high blood pressure, hypertension, BP"
"What are the warning signs of asthma?","Asthma can cause wheezing, chest tightness, cough, and shortness of breath. Seek urgent care if breathing becomes difficult or inhalers are not helping.","asthma, wheezing, breathlessness"
"How do I manage gastritis symptoms?","Eat light meals, avoid spicy food, reduce alcohol, and speak with a doctor if pain, vomiting, or black stool occurs.","gastritis, stomach pain, acidity"
"What are symptoms of sinusitis?","Sinusitis may cause blocked nose, facial pressure, headache, fever, and thick nasal discharge. See an ENT specialist if symptoms persist.","sinusitis, blocked nose, facial pain"
"Which doctor should I see for arthritis?","Persistent joint pain, swelling, and stiffness should be checked by an orthopedic doctor or rheumatology specialist based on the case.","arthritis, joint pain, swollen joints"
"What is the heart?","The heart is a muscular organ that pumps blood throughout the body.","heart, cardiac, pump blood"
"What is the brain?","The brain controls body functions, thoughts, and emotions.","brain, nervous system, control"
"What are the eyes?","Eyes are organs for vision and light perception.","eyes, vision, sight"
"What are the ears?","Ears are organs for hearing and balance.","ears, hearing, balance"
"What is the nose?","The nose is an organ for smelling and breathing.","nose, smell, breathing"
"What is the mouth?","The mouth is an opening for eating, speaking, and breathing.","mouth, eating, speaking"
"What are teeth?","Teeth are hard structures for chewing food.","teeth, chewing, dental"
"What is the tongue?","The tongue is a muscle for tasting, swallowing, and speaking.","tongue, taste, swallowing"
"What are symptoms of COVID-19?","COVID-19 symptoms include fever, cough, loss of taste/smell, fatigue, and breathing difficulty. Isolate and test if suspected.","covid-19, coronavirus, fever"
"How to prevent cancer?","Prevent cancer by avoiding tobacco, eating healthy, exercising, limiting alcohol, and getting regular screenings.","cancer, prevention, healthy lifestyle"
"What causes a stroke?","Stroke is caused by blocked or ruptured blood vessels in the brain, often due to high BP, smoking, or heart disease.","stroke, brain attack, paralysis"
"How to manage diabetes?","Manage diabetes with diet, exercise, blood sugar monitoring, and prescribed medicines. Consult an endocrinologist.","diabetes, blood sugar, management"
"What are signs of kidney disease?","Signs include swelling, fatigue, frequent urination, and blood in urine. See a nephrologist for evaluation.","kidney disease, renal failure, swelling"
"How to treat migraine?","Treat migraine with rest in a dark room, pain relievers, and preventive medicines. Avoid triggers like stress.","migraine, headache, treatment"
"What is epilepsy?","Epilepsy is a neurological disorder causing seizures. Managed with medicines and lifestyle adjustments.","epilepsy, seizures, neurological"
"What is the jaw?","The jaw is a bone that forms the lower part of the mouth.","jaw, mandible, bone"
"What is the throat?","The throat is a passage for air and food, contains vocal cords.","throat, vocal cords, passage"
"What is the voice box?","The voice box produces sound and protects the airway.","voice box, larynx, sound"
"What is the windpipe?","The windpipe is a tube that carries air to the lungs.","windpipe, trachea, airway"
"What are blood vessels in the neck?","Blood vessels in the neck include arteries that supply blood to the brain and veins that return blood.","blood vessels, carotid, jugular"
"What are the lungs?","Lungs are organs for breathing and oxygen exchange.","lungs, breathing, oxygen"
"What are ribs?","Ribs are bones protecting the chest organs.","ribs, chest, bones"
"What is the stomach?","The stomach digests food and absorbs nutrients.","stomach, digestion, nutrients"
"What is the liver?","The liver produces bile and detoxifies the body.","liver, bile, detoxification"
"What are kidneys?","Kidneys filter waste from blood and produce urine.","kidneys, urine, waste"
"What are intestines?","Intestines absorb nutrients and eliminate waste.","intestines, absorption, waste"
"What is the pancreas?","The pancreas produces digestive enzymes and insulin.","pancreas, enzymes, insulin"
"What is the spleen?","The spleen filters blood and stores immune cells.","spleen, blood, immune"
"What is the spine?","The spine supports the body and protects the spinal cord.","spine, vertebral column, support"
"What is the spinal cord?","The spinal cord transmits signals between brain and body.","spinal cord, nerves, signals"
"What is the shoulder?","The shoulder is a joint connecting arm to torso.","shoulder, joint, arm"
"What is the upper arm?","The upper arm is from shoulder to elbow.","upper arm, humerus, elbow"
"What is the elbow?","The elbow is a joint between upper and lower arm.","elbow, joint, forearm"
"What is the forearm?","The forearm is from elbow to wrist.","forearm, radius, ulna"
"What is the wrist?","The wrist is a joint connecting forearm to hand.","wrist, joint, hand"
"What is the hand?","The hand is a grasping organ at end of arm.","hand, grasping, palm"
"What is the palm?","The palm is the inner surface of the hand.","palm, hand, surface"
"What are fingers?","Fingers are digits for manipulation and touch.","fingers, digits, touch"
"What is the hip?","The hip is a joint connecting leg to torso.","hip, joint, leg"
"What is the thigh?","The thigh is the upper part of the leg.","thigh, femur, leg"
"What is the knee?","The knee is a joint between thigh and calf.","knee, joint, patella"
"What is the calf?","The calf is the lower part of the leg.","calf, tibia, fibula"
"What is the ankle?","The ankle is a joint connecting leg to foot.","ankle, joint, foot"
"What is the foot?","The foot supports body weight and enables walking.","foot, support, walking"
"What is the sole?","The sole is the bottom of the foot.","sole, foot, bottom"
"What are toes?","Toes are digits on the foot.","toes, digits, foot"
"What causes vomiting?","Vomiting can be caused by stomach infection, food poisoning, gastritis, motion sickness, or other digestive issues. Stay hydrated and consult a doctor if persistent.","vomiting, vomit, nausea, stomach"
"What causes headache?","Headache can be due to stress, migraine, dehydration, eye strain, or sinus issues. Rest and hydrate; see a doctor for severe or frequent headaches.","headache, migraine, pain"
"What causes chest pain?","Chest pain may be from heart issues, acidity, muscle strain, or anxiety. Seek immediate help if severe or with breathlessness.","chest pain, heart, acidity"
"What causes skin rash?","Skin rash can result from allergy, infection, eczema, or irritation. Keep skin clean and avoid triggers; consult a dermatologist if persistent.","rash, skin, allergy"
"What causes joint pain?","Joint pain often comes from arthritis, injury, or inflammation. Rest the joint and use pain relief; see an orthopedic doctor for evaluation.","joint pain, arthritis, swelling"
"What causes fever?","Fever is usually due to infection, but can also be from inflammation or other causes. Monitor temperature and consult a doctor if high or prolonged.","fever, temperature, infection"
"What causes cough?","Cough can be from cold, allergy, asthma, or infection. Stay hydrated and use cough syrup if needed; see a doctor for persistent cough.","cough, cold, allergy"
"What causes stomach pain?","Stomach pain may be from acidity, gastritis, infection, or ulcers. Eat light food and avoid irritants; consult a gastroenterologist if severe.","stomach pain, abdominal, acidity"
"What causes back pain?","Back pain can result from poor posture, injury, or spinal issues. Maintain good posture and exercise; see a doctor for chronic pain.","back pain, spine, posture"
"What causes dizziness?","Dizziness may be from low blood pressure, dehydration, inner ear issues, or neurological problems. Rest and hydrate; seek medical advice if recurrent.","dizziness, vertigo, balance"
"What causes fatigue?","Fatigue can be due to lack of sleep, anemia, thyroid issues, or stress. Ensure adequate rest and a balanced diet; consult a doctor for ongoing tiredness.","fatigue, tiredness, weakness"
"What causes shortness of breath?","Shortness of breath may indicate asthma, heart issues, or lung problems. Avoid triggers and seek urgent care if severe.","shortness of breath, breathlessness, asthma"
"What causes nausea?","Nausea can be from stomach upset, pregnancy, medication, or infection. Eat small meals and stay hydrated; see a doctor if persistent.","nausea, vomiting, stomach"
"What causes swelling?","Swelling can be from injury, infection, heart or kidney issues, or allergy. Elevate the area and rest; consult a doctor for unexplained swelling.","swelling, edema, inflammation"
"What causes bleeding?","Bleeding may be from injury, ulcers, or medical conditions. Apply pressure and seek medical help for heavy or unusual bleeding.","bleeding, blood, injury"
"What causes constipation?","Constipation is often due to low fiber diet, dehydration, or medication. Increase fiber and water intake; consult a doctor if chronic.","constipation, bowel, digestion"
"What causes diarrhea?","Diarrhea can result from infection, food poisoning, or irritable bowel. Stay hydrated with ORS; see a doctor for severe or bloody diarrhea.","diarrhea, loose motion, infection"
"What causes urinary problems?","Urinary issues like frequent urination or pain may be from infection, stones, or prostate problems. Drink water and consult a urologist.","urinary, urination, bladder"
"What causes eye pain?","Eye pain can be from infection, strain, or injury. Avoid rubbing eyes and see an ophthalmologist for evaluation.","eye pain, vision, infection"
"What causes ear pain?","Ear pain often comes from infection or wax buildup. Keep ears dry and consult an ENT specialist for severe pain.","ear pain, infection, hearing"
"What causes nosebleed?","Nosebleed may be from dry air, injury, or high blood pressure. Pinch the nose and lean forward; see a doctor for frequent bleeds.","nosebleed, bleeding, nasal"
"What causes tooth pain?","Tooth pain is usually from decay, infection, or sensitivity. Brush gently and see a dentist for relief.","tooth pain, dental, cavity"
"What causes muscle pain?","Muscle pain can be from strain, injury, or flu. Rest and use warm compress; consult a doctor for severe or persistent pain.","muscle pain, strain, injury"
"What causes bone pain?","Bone pain may indicate fracture, arthritis, or infection. Avoid weight on the area and seek orthopedic evaluation.","bone pain, fracture, arthritis"
"What causes liver problems?","Liver issues can be from alcohol, infection, or fatty liver. Maintain healthy diet and avoid toxins; see a hepatologist.","liver, jaundice, hepatitis"
"What causes kidney problems?","Kidney problems may be from infection, stones, or diabetes. Stay hydrated and monitor urine; consult a nephrologist.","kidney, urine, stones"
"What causes brain problems?","Brain issues can include stroke, migraine, or infection. Seek immediate help for sudden symptoms like weakness or confusion.","brain, neurological, stroke"
"What is the nervous system?","The nervous system includes the brain, spinal cord, and nerves that control body functions.","nervous system, brain, nerves"
"What is the circulatory system?","The circulatory system includes the heart, blood vessels, and blood that transport oxygen and nutrients.","circulatory system, heart, blood"
"What is the respiratory system?","The respiratory system includes the nose, trachea, and lungs for breathing.","respiratory system, lungs, breathing"
"What is the digestive system?","The digestive system breaks down food and absorbs nutrients from mouth to intestines.","digestive system, stomach, intestines"
"What is the excretory system?","The excretory system includes kidneys and bladder for filtering waste.","excretory system, kidneys, urine"
"What is the reproductive system?","The reproductive system includes organs for producing offspring.","reproductive system, male, female"
"What is skin?","Skin protects the body and regulates temperature.","skin, protection, temperature"
"What are muscles?","Muscles enable movement and maintain posture.","muscles, movement, posture"
"What are bones?","Bones provide support structure and protect organs.","bones, skeleton, support"
"What are joints?","Joints connect bones and allow movement.","joints, connection, movement"
